Sno,District,Hospital Id,Hospital Name,Hospital Contact,Hospital Type,Specialities
154,MANDI,HOSP2G54982,CHC NIHRI,9816054361,Public,"S1, M1, M7"
155,SIRMAUR,HOSP2P00774,SHRI SAI MULTISPECIALITY HOSPITAL AND TRAUMA CENTRE,7018103200,Private(For Profit),"M1, M2, S8, M7, S7, M3, S1, S16, S2, S4, S5, S9, M5, S15, S3, SP"
156,SOLAN,HOSP2P00815,Abhinam Eye Care Center Solan,9914558444,Private(For Profit),S3
157,KANGRA,HOSP2P01773,NAV JEEVAN HOSPITAL ,9805791751,Private(For Profit),"M1, M7, M2, S1, S4"
158,MANDI,HOSP2P02560,Bhambla Multispeciality Hospital,8872530186,Private(For Profit),"M1, M7, S1, S2, S4, S5, M2, M3"
159,SIRMAUR,HOSP2P02598,Sanjivni Eye Healthcare,9896209691,Private(For Profit),S3
160,MANDI,HOSP2P02668,MALHOTRA HOSPITAL AND TRAUMA CENTRE,8288849649,Private(For Profit),"M1, M7, M2, S1, S5, SU"
161,MANDI,HOSP2P03946,AASTHA MULTISPECIALITY HOSPITAL ,9816601916,Private(For Profit),"MG, MP, SB, SG, SO, M3"
162,SIRMAUR,HOSP2P04064,PRRIYANSHI HOSPITAL,9459094509,Private(For Profit),"M1, M7, M2, S1, S4, S5"
163,KULLU,HOSP2P04618,SR Hospital Kalheli,7832088966,Private(Not For Profit),"S1, MG, SP, SU"
164,KANGRA,HOSP2P04857,J.V.R EYE HOSPITAL,9418007829,Private(For Profit),S3
165,MANDI,HOSP2P05561,MANNAT HOSPITAL,9816166456,Private(For Profit),"M2, S5, MG"
166,MANDI,HOSP2P100084,KS HOSPITAL,9418100831,Private(For Profit),"SE, SL, MG, SB"
167,UNA,HOSP2P102083,Bansal ortho health center,8894080874,Private(For Profit),"SB, MG"
168,MANDI,HOSP2P10921,NEELKANTH HOSPITAL,7018528514,Private(For Profit),"M1, M7, S1, S2"
169,SIRMAUR,HOSP2P110939,Jagdish Chand Juneja Hospital,9805517615,Private(Not For Profit),"M1, M7, M2, S1, S4, S5, SE"
170,CHAMBA,HOSP2P111003,Rana hospital ,9816735411,Private(For Profit),"S5, S1, S4, SU"
171,SIRMAUR,HOSP2P111416,SANJIVNI VISION CARE,9816291964,Private(For Profit),S3
172,KANGRA,HOSP2P113825,ASHOK MEMORIAL HOSPITAL,8679147555,Private(For Profit),"M1, M7, S1, S4, MN, MP, SB, SU"
173,MANDI,HOSP2P115753,Sapphire Health Care,8219120426,Private(For Profit),MG
174,KULLU,HOSP2P119029,Life Line Care Hospital,8894665982,Private(For Profit),"M1, M7, S16, S4"
175,KULLU,HOSP2P120948,Nephrocare Health Services Pvt Ltd,7331191182,Private(For Profit),"M1, S7"
176,KANGRA,HOSP2P121027,JVR EYE HOSPITAL,9418970878,Private(For Profit),S3
177,KANGRA,HOSP2P123023,ADVANCE SUPER SPECIALITY HOSPITAL,9045025314,Private(For Profit),"M1, M7, M2, S1, S4, S5, M3, S7, SE, SM"
178,SHIMLA,HOSP2P123781,Prabhudas Clinic & Nursing Home,9418862090,Private(For Profit),SG
179,UNA,HOSP2P123798,NAVNEET UROLOGY AND GENERAL SURGERY HOSPITAL,9418076097,Private(For Profit),"S1, S7"
180,SOLAN,HOSP2P123848,Ameesh Hospital,9857930779,Private(For Profit),"M1, M7, S1"
181,SOLAN,HOSP2P123933,NAVJEEVAN NURSING HOME RAJGARH ROAD SOLAN,9418022212,Private(Not For Profit),"S1, S4, MG, SU"
182,UNA,HOSP2P123988,Sri krishna children hospital,9816065580,Private(For Profit),"MP, MN"
183,SHIMLA,HOSP2P124001,Aastha Hospital and Pediatric Center ,9418150377,Private(For Profit),"M2, S4"
184,HAMIRPUR,HOSP2P124184,Dr. A. S. Thakur Memorial Multi Speciality Hospital,9418020055,Private(Not For Profit),"MG, SB, SE, SG, SL, SM, SO, ST"
185,UNA,HOSP2P124354,Rotary eye Hospital Dhussara,9882117443,Private(Not For Profit),SE
186,SIRMAUR,HOSP2P124727,SHRI SAI CARDIAC & CRITICAL CARE CENTRE,9816173200,Private(For Profit),"ER, MC, MG, MN, MP"
187,BILASPUR,HOSP2P125148,SIA RAM HOSPITAL  ,8219944305,Private(For Profit),"MG, SB"
188,KANGRA,HOSP2P125216,City Care Multispeciality Hospital,8894528888,Private(For Profit),"ER, MG, MN, MP, SB, SE, SG, SL, SN, SO, SP, SU"
189,MANDI,HOSP2P125221,BHANOO HOSPITAL,9115119811,Private(Not For Profit),"MG, SE, SG, SM, SO, SU"
190,MANDI,HOSP2P126574,Mandav Hospital (A Unit of Banga Hospitals Pvt Ltd),9418280979,Private(For Profit),"MG, MP, SB, SG, SO, SU"
191,SHIMLA,HOSP2P126895,LIONS RIAN DIALYSIS & HEALTH CARE CENTRE,9418005087,Private(Not For Profit),MG
192,UNA,HOSP2P126908,SAHNI EYE HOSPITAL,9418405266,Private(For Profit),SE
193,HAMIRPUR,HOSP2P130873,CITYHEART SUPERSPECIALITY HOSPITAL A UNIT OF THAKUR NURSING HOME,7018253381,Private(For Profit),"MC, SV"
194,UNA,HOSP2P131046,agnihotri life line hospital,7018061237,Private(For Profit),"MG, SM"
195,KULLU,HOSP2P134677,Ashish Hospital,9805036406,Private(For Profit),"SG, SO, SU"
196,SOLAN,HOSP2P134713,Shri Balmukand Apex Hospital,8091966601,Private(For Profit),"MG, SG, SO, MP"
197,SOLAN,HOSP2P135323,PANACEA UROCARE,9915049466,Private(For Profit),"SG, SU"
198,MANDI,HOSP2P135725,SUKET HOSPITAL PVT.LTD.,9816498060,Private(For Profit),"MG, MP"
199,KANGRA,HOSP2P136838,Himachal Healthcare Private Limited,9218800000,Private(For Profit),"MC, SB, MG, MN, MO, SG, SL, SP, SU"
200,MANDI,HOSP2P137256,HIMACHAL VALLEY HEALTHCARE,7018707570,Private(For Profit),MG
201,UNA,HOSP2P137374,Altis Hospital Una,8628872040,Private(For Profit),SL
202,SOLAN,HOSP2P139086,Life Care Hospital,9814139466,Private(Not For Profit),MG
203,KANGRA,HOSP2P13933,PANCHSHEEL NURSING HOME,9805141994,Private(Not For Profit),"S5, MG, SG, SP"
204,KULLU,HOSP2P140190,SRI  HARIHAR HOSPITAL KULLU,9459636391,Private(Not For Profit),"ER, MG, MN, MP, SG, SO"
205,SOLAN,HOSP2P140283,Shreekant Memorial Hospital,9805000275,Private(For Profit),"BM, ER, SB, SG, SO, SP, SU, MG"
206,KANGRA,HOSP2P140580,VIJAY HOSPITAL HI TECH DIAGNOSTICS BODH JASSUR,9876557222,Private(For Profit),"MG, SB, SG, SU"
207,KULLU,HOSP2P140758,KULLU VALLEY HOSPITAL UNIT OF BANGA HOSPITALS PVT.LTD,9418052050,Private(For Profit),"ER, MG, MP, SB, SG, SO, SP, SU"
208,SIRMAUR,HOSP2P141186,SNEH HOSPITAL,9418000911,Private(For Profit),"SB, SO"
209,KULLU,HOSP2P141558,SRI HARIHAR HOSPITAL MANALI,8580710126,Private(Not For Profit),"ER, MG, MN, MP, SB, SG, SM, SO"
210,KULLU,HOSP2P141613,BHUNTER VALLEY HOSPITAL,9418052050,Private(Not For Profit),"ER, SG, SO"
211,KANGRA,HOSP2P141807,CAPT SAURABH KALIA MEMORIAL KAYDEE HOSPITAL,9971313262,Private(For Profit),"ER, SG, SP, SU, SB"
212,MANDI,HOSP2P141877,HIMALAYA HEALTHCARE DIALYSIS CENTER,8219273626,Private(For Profit),MG
213,KANGRA,HOSP2P142298,Dev Bhoomi Eye Hospital,9816488886,Private(For Profit),SE
214,KULLU,HOSP2P142446,SRI HARIHAR HOSPITAL BHUNTAR,9459636391,Private(Not For Profit),"ER, MG, MN, MP, SB, SG, SL, SO"
215,KANGRA,HOSP2P143233,APEX HOSPITAL AND HEART CARE CENTRE,9418055828,Private(For Profit),"ER, MC, MG, MN, MP, SE, SG, SO"
216,KULLU,HOSP2P143583,Laxmi Eye Centre ,9418033969,Private(For Profit),SE
217,KANGRA,HOSP2P143996,jeevan jyoti hospital,9816817084,Private(Not For Profit),MG
218,HAMIRPUR,HOSP2P144405,BHANDARI HOSPITAL,8219281316,Private(For Profit),"MN, MP, SO, MG, SG"
219,MANDI,HOSP2P144428,ABHILASHI HOSPITAL WELLNESS AND PANCHKARMA CENTER,9015147711,Private(For Profit),"ER, MG, MN, SE, SG, SO, SU"
220,HAMIRPUR,HOSP2P144731,AYUSHMAAN HOSPITAL,7018391018,Private(For Profit),"ER, MG, MN, MP, SG, SO"
221,SOLAN,HOSP2P145345,GLOBAL SUPERSPECIALITY HOSPITAL,9915511303,Private(Not For Profit),"MC, MG, SB, SG, SO, SU, SV"
222,CHAMBA,HOSP2P145759,SWAMI SHRI HARIGIRI MULTISPECIALTY HOSPITAL KAKIRA ,9459082019,Private(Not For Profit),"MG, SB, SG, SO"
223,KANGRA,HOSP2P146335,Rotary Eye Hospital Pragpur,9882117443,Private(Not For Profit),SE
224,KANGRA,HOSP2P146514,CITY SUPERSPECIALITY HOSPITAL,9015400749,Private(For Profit),"MC, MG, SB, SU, SG, SN, SO"
225,UNA,HOSP2P146775,MINDBLISS HOSPITAL,7876210870,Private(For Profit),MG
226,SOLAN,HOSP2P147756,Navkiran Eye Hospital,7888845817,Private(For Profit),"SE, MG, SG"
227,CHAMBA,HOSP2P147866,Surya Eye Hospital,7018260013,Private(For Profit),SE
228,SOLAN,HOSP2P148040,Simran Hospital,7889292510,Private(Not For Profit),SB
229,BILASPUR,HOSP2P150211,DASHMESH EYE CENTRE,9876993208,Private(For Profit),SE
230,BILASPUR,HOSP2P150919,Sapphire Healthcare,8219120426,Private(For Profit),MG
231,KANGRA,HOSP2P152742,DHIMAN DIAGNOSTIC AND CONSULTATION CENTER ,7018080466,Private(For Profit),SG
232,UNA,HOSP2P155823,Maatri Medicity and Orthocare Hospital,8219124122,Private(For Profit),SB
233,CHAMBA,HOSP2P155909,SS MEMORIAL ASHIRWAD HOSPITAL,8219164854,Private(For Profit),"SG, SU"
234,HAMIRPUR,HOSP2P156754,Sai Hospital,9041436030,Private(For Profit),"MN, MP, SG, SO, MG"
235,KANGRA,HOSP2P159063,Kamal Hospital ,9780966588,Private(For Profit),"ER, MG, SG"
236,HAMIRPUR,HOSP2P159240,CITY HOSPITAL,8628019605,Private(For Profit),"BM, SG, SU, MG, SB, SE, SO, SP"
237,UNA,HOSP2P159751,ELITE HOSPITAL AND SURGICAL CENTRE,7807412975,Private(Not For Profit),"ER, MG, MP, SB, SG, SO, SS, SU, MC, SC, SL, SN"
238,KANGRA,HOSP2P159767,Bharadwaj Multispeciality Hospital ,9805599943,Private(For Profit),"MG, SG"
239,CHAMBA,HOSP2P162173,APEX HOSPITAL ,9736835340,Private(For Profit),"SG, SO"
240,UNA,HOSP2P162802,SUNRISE HOSPITAL & ADVANCED LAPAROSCOPIC CENTER,9736550003,Private(Not For Profit),SG
241,KANGRA,HOSP2P162873,Advanced Cardiac Cath Lab.,9418055828,Private(Not For Profit),MC
242,SHIMLA,HOSP2P166164,Sparsh Multispecialty Hospital,9041038003,Private(Not For Profit),"ER, ID, MC, MG, MN, MP, SB, SE, SG, SM, SN, SO, SP, SU"
243,MANDI,HOSP2P167122,Himachal Heart Institute,9418052055,Private(For Profit),MC
244,KANGRA,HOSP2P167127,Lifeline Hospital,9805616871,Private(For Profit),MG
245,HAMIRPUR,HOSP2P167496,SDKL MEMORIAL GLODHA HOSPITAL,8628823845,Private(For Profit),"SG, SO"
246,KULLU,HOSP2P167985,CITY HOSPITAL,9418052050,Private(For Profit),"MG, SB, SE, SG, SO"
247,BILASPUR,HOSP2P168115,PULSE HOSPITAL,7807720340,Private(For Profit),"ER, MN, MP, SG, SO"
248,KANGRA,HOSP2P169020,GARG EYE HOSPITAL,9888265249,Private(For Profit),SE
249,SOLAN,HOSP2P169401,ELCURA HEALTHCARE,7906212624,Private(For Profit),"ER, MG, SG, SU"
250,MANDI,HOSP2P169607,Mandav Hospital Gutkar,9418280979,Private(For Profit),"MG, MP, SB, SG, SL, SO, SU"
251,SOLAN,HOSP2P170863,MITTAL EYE CARE CENTRE ,9041378357,Private(For Profit),SE
252,KANGRA,HOSP2P171114,NEW SAXENA HOSPITAL,8627007219,Private(For Profit),"ER, ID, MG, MN, MP, SB, SG, SM, SO, SU"
253,SOLAN,HOSP2P171365,Maa Sharda Hospital,7806000020,Private(Not For Profit),MG
254,BILASPUR,HOSP2P172115,N R  HOSPITAL,8219183377,Private(For Profit),"SG, SO, SU, SB"
255,SOLAN,HOSP2P174307,RAHI CARE DIALYSIS UNIT,9876763693,Private(For Profit),MG
256,MANDI,HOSP2P178548,Guleria Eye care centre ,8988248466,Private(For Profit),SE
257,KANGRA,HOSP2P181303,RANU HOSPITAL & TRAUMA CENTRE,7876535530,Private(For Profit),SB
258,MANDI,HOSP2P182878,Rahi Care Pvt Ltd,7876623932,Private(For Profit),MG
259,KANGRA,HOSP2P183316,CITY CARE MULTISPECIALITY HOSPITAL LUBH  ,9816495861,Private(For Profit),"MG, MP, SB, SG, SO, SU"
260,KANGRA,HOSP2P184393,SRI SAI MULTISPECIALITY HOSPITAL,9418090888,Private(For Profit),"ER, MG, SB, SG, SL, SU"
261,UNA,HOSP2P189905,GRACE MEGACARE MULTISPECIALITY HOSPITAL,9317965729,Private(For Profit),"MG, SM, SO, ER, ID, SB, SG, ST, SU"
262,KANGRA,HOSP2P195664,SAMAR HOSPITAL,7009271175,Private(For Profit),"ER, MG, SB, SG, SU"
263,UNA,HOSP2P195726,Arora eye hospital and retina centre unit of resight vision foundation,7888490803,Private(Not For Profit),SE
264,UNA,HOSP2P199087,DEVBHOOMI ADVAITA HEART INSTITUTE,9815906902,Private(For Profit),"MC, MG"
265,SOLAN,HOSP2P199576,ARAVINDAM eye clinic,8894386990,Private(For Profit),SE
266,SHIMLA,HOSP2P201566,BUSAHR HOSPITAL,8988380073,Private(Not For Profit),"ER, ID, MG, SB, SG, SO"
267,UNA,HOSP2P203226,BBN HOSPITAL AND SURGICAL CENTRE,9882216003,Private(For Profit),SG
268,MANDI,HOSP2P204201,Shanti Madan Memorial Hospital,9518407167,Private(Not For Profit),"ER, MG, MO, SB, SG, SU"
269,UNA,HOSP2P205221,SHRI VAISHNO HEART CENTRE,7889462747,Private(Not For Profit),"ER, MC, MG"
270,MANDI,HOSP2P205553,VIVA CARE HOSPITAL,7428393444,Private(For Profit),"ER, MG, MN, MP, SB, SG, SO, SU"
271,SOLAN,HOSP2P205760,RANA HOSPITAL,9803370008,Private(For Profit),"ER, MG, SB, SG"
272,MANDI,HOSP2P208775,SHREE NAINA DIALYSIS CENTRE,9817865186,Private(For Profit),MG
273,MANDI,HOSP2P211213,Sandhya Hot Spring Healthcare,9816057111,Private(For Profit),"CP, OC"
274,MANDI,HOSP2P36353,Banga Associated Hospital Eye Care,9418407850,Private(For Profit),S3
275,SOLAN,HOSP2P36382,M.M. MEDICAL COLLEGE & HOSPITAL,8894455504,Private(Not For Profit),"M1, M7, M2, S1, S14, S16, S2, S3, S4, S5, S6, M3, S12, S7"
276,KULLU,HOSP2P57303,BHANOO HOSPITAL PVT LTD,9459209070,Private(For Profit),"S1, S3, S4, MG, SU"
277,MANDI,HOSP2P58376,JAGRITI MEDICAL CENTRE,9882867846,Private(For Profit),"M2, S1, S2, S4, S7, M1, M7"
278,KANGRA,HOSP2P60182,MMS ROTARY EYE HOSPITAL MARANDA,9971708422,Private(Not For Profit),S3
279,UNA,HOSP2P60434,ANANDRAJ MALIK Hospital,8544797498,Private(For Profit),"S1, MG, SL, SO, ST, SU"
280,SOLAN,HOSP2P61071,M KARE HOSPITAL (A UNIT OF MALHOTRA SUPER SPECIALITY HOSPITAL),6230020120,Private(For Profit),"M1, M7, S7, M2, S1, S10, S11, S12, S16, S2, S3, S4, S5, S6, SU"
281,KANGRA,HOSP2P66875,ANAND HOSPITAL,9418111400,Private(For Profit),"M1, M7, S4"
282,UNA,HOSP2P66917,SWAMI PINDI DASS JI CHARITABLE EYE HOSPITAL AND RESEARCH CENTRE,8580992289,Private(Not For Profit),S3
283,HAMIRPUR,HOSP2P69971,Parvati Hospital,8626903774,Private(Not For Profit),"M1, M7, S7, M2, M3, S1, S4, S5"
284,SIRMAUR,HOSP2P83358,Shri Siddhivinayak Hospital,9418490770,Private(For Profit),"S1, S4, MG, S3, S5, SL, SU"
285,UNA,HOSP2P83633,SHIVAM ORTHOCARE,9625107410,Private(For Profit),"S5, ER, MG"
286,MANDI,HOSP2P86367,aditya jyoti eye hospital,8262919390,Private(For Profit),S3
287,MANDI,HOSP2P89879,JAI PARKSH HOSPITAL PRIVATE LIMITED,8091053410,Private(For Profit),"M1, M7, S1, S2, S4, S5, ER, SU"
288,UNA,HOSP2P90091,Vishal Eye Hospital,9816055925,Private(For Profit),SE
289,UNA,HOSP2P92329,SHERGILL HEALTH CARE CENTRE,9814411526,Private(For Profit),"S1, S2, S4, S7"
